{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537334.073279, 'bid': '111.13', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537336.488397, 'bid': '111.13', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537353.534457, 'bid': '111.15', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537355.215881, 'bid': '111.15', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537356.755865, 'bid': '111.15', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537359.234807, 'bid': '111.15', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537360.515568, 'bid': '111.15', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537366.75708, 'bid': '111.15', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537368.019507, 'bid': '111.16', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537370.522968, 'bid': '111.16', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537371.752258, 'bid': '111.16', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537374.257177, 'bid': '111.16', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537375.51414, 'bid': '111.17', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537376.788332, 'bid': '111.17', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537379.299097, 'bid': '111.17', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537380.483183, 'bid': '111.17', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537383.005464, 'bid': '111.17', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537384.286148, 'bid': '111.17', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537386.763232, 'bid': '111.17', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537388.022105, 'bid': '111.17', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537389.263548, 'bid': '111.17', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537391.786791, 'bid': '111.17', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537393.129382, 'bid': '111.17', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
{'volume': '9075.98736764', 'last': '111.06', 'timestamp': 1377537394.269497, 'bid': '111.17', 'high': '113.30', 'low': '110.27', 'ask': '111.99'}
